ticket,customer_id,complaint_category,complaint_date,severity
TICKET000001,CUST078978,KYC Verification Delay,2024-09-28,10
TICKET000002,CUST018903,Poor Customer Service,2025-03-03,10
TICKET000003,CUST013853,Account Locked,2024-08-06,5
TICKET000004,CUST072610,Poor Customer Service,2025-03-28,7
TICKET000005,CUST060551,Poor Customer Service,2024-08-27,6
TICKET000006,CUST018881,Loan Application Rejected,2025-01-07,4
TICKET000007,CUST071205,Loan Application Rejected,2025-01-09,6
TICKET000008,CUST065055,ATM Withdrawal Failed,2024-10-05,5
TICKET000009,CUST020522,Incorrect Charges,2025-01-05,7
TICKET000010,CUST025430,Incorrect Charges,2024-07-12,3
TICKET000011,CUST077171,Unauthorized Transaction,2024-12-05,10
TICKET000012,CUST015632,Unauthorized Transaction,2024-08-06,9
TICKET000013,CUST073594,Loan Application Rejected,2024-10-07,5
TICKET000014,CUST071465,Mobile App Issues,2024-11-23,0
TICKET000015,CUST005869,Unauthorized Transaction,2024-12-07,5
TICKET000016,CUST016428,Mobile App Issues,2024-07-17,8
TICKET000017,CUST057268,Card Not Working,2024-09-19,6
TICKET000018,CUST053474,Poor Customer Service,2024-06-20,0
TICKET000019,CUST040593,Mobile App Issues,2024-09-18,8
TICKET000020,CUST097486,KYC Verification Delay,2024-11-09,7
TICKET000021,CUST082842,Poor Customer Service,2024-12-23,1
TICKET000022,CUST045438,Incorrect Charges,2024-08-21,0
TICKET000023,CUST019863,Mobile App Issues,2024-10-07,9
TICKET000024,CUST085317,Loan Application Rejected,2024-12-16,6
TICKET000025,CUST081988,Account Locked,2024-08-11,10
TICKET000026,CUST098490,ATM Withdrawal Failed,2024-12-15,5
TICKET000027,CUST083786,Poor Customer Service,2025-04-15,2
TICKET000028,CUST006903,Unauthorized Transaction,2024-09-18,4
TICKET000029,CUST096815,Delayed Refund,2024-06-10,7
TICKET000030,CUST018387,Poor Customer Service,2024-08-06,1
TICKET000031,CUST065916,Loan Application Rejected,2025-04-06,4
TICKET000032,CUST015399,Account Locked,2025-02-26,1
TICKET000033,CUST044825,KYC Verification Delay,2025-03-03,8
TICKET000034,CUST035040,Delayed Refund,2024-09-30,0
TICKET000035,CUST013249,Delayed Refund,2024-12-25,6
TICKET000036,CUST026303,Poor Customer Service,2024-06-01,9
TICKET000037,CUST067284,Mobile App Issues,2024-12-03,9
TICKET000038,CUST096322,Incorrect Charges,2025-04-14,7
TICKET000039,CUST008182,Mobile App Issues,2024-11-24,2
TICKET000040,CUST080805,Account Locked,2025-01-09,3
TICKET000041,CUST099826,Unauthorized Transaction,2025-04-14,6
TICKET000042,CUST015011,Poor Customer Service,2025-04-05,9
TICKET000043,CUST083885,Mobile App Issues,2024-05-23,8
TICKET000044,CUST092187,ATM Withdrawal Failed,2024-05-17,2
TICKET000045,CUST078547,Account Locked,2024-06-07,3
TICKET000046,CUST087260,ATM Withdrawal Failed,2024-06-26,9
TICKET000047,CUST025621,ATM Withdrawal Failed,2024-12-25,5
TICKET000048,CUST059652,Loan Application Rejected,2025-03-14,3
TICKET000049,CUST090414,Loan Application Rejected,2025-03-21,6
TICKET000050,CUST025657,KYC Verification Delay,2025-04-09,2
TICKET000051,CUST061945,Card Not Working,2024-09-03,2
TICKET000052,CUST058928,Loan Application Rejected,2024-08-22,9
TICKET000053,CUST046816,Incorrect Charges,2025-02-12,7
TICKET000054,CUST007175,Delayed Refund,2025-05-06,6
