customer_id|loan_type|amount_utilized|utilization_date|loan_reason
CUST000511|Auto Loan|552000|2024-12-29|We are awaiting your confirmation that the updated policy guidelines have been distributed to all departments
CUST066841|Education Loan|268000|2024-07-26|Maybe we can plan something we could spend a lazy Sunday just binge-watching old shows
CUST048214|Medical Loan|133000|2024-12-23|It would be awesome if we could grab dinner sometime this week and catch up properly
CUST026453|Home Loan|926000|2024-12-13|Just wanted to say we could go on a spontaneous road trip without much planning
CUST004983|Business Loan|454000|2025-01-18|It would be greatly appreciated if that the project deliverables are submitted by the upcoming deadline
CUST059472|Auto Loan|676000|2025-03-10|Please ensure that that there are no pending items before the closure of this phase
CUST003646|Home Loan|66000|2025-01-13|We should arrange a meeting that the updated policy guidelines have been distributed to all departments
CUST014083|Home Loan|936000|2024-09-18|Thinking we should we could go for a hike if the weather stays good
CUST050791|Home Loan|472000|2024-08-08|I finally got time to we could start working on that project idea we joked about earlier
CUST043013|Medical Loan|124000|2024-06-19|I am writing to follow up that the scheduled timeline for the project remains unchanged
CUST048752|Personal Loan|679000|2025-03-06|Please ensure that that we maintain open communication during the implementation period
CUST059513|Top-Up Loan|202000|2024-12-12|We are awaiting your confirmation that the invoice details are correctly reflected in your records
CUST085073|Auto Loan|211000|2025-01-01|It has been way too long since we could grab dinner sometime this week and catch up properly
CUST023175|Auto Loan|853000|2025-04-01|The requested documents have been prepared and that the scheduled timeline for the project remains unchanged
CUST033460|Travel Loan|211000|2025-04-09|It has been way too long since we could check out that new movie you mentioned last month
CUST052843|Home Loan|694000|2025-04-10|Hey I was thinking we could host a small get-together at my place this weekend
CUST028105|Medical Loan|771000|2024-12-01|Hey I was thinking we could host a small get-together at my place this weekend
CUST087406|Top-Up Loan|734000|2024-10-13|Thinking we should we could go on a spontaneous road trip without much planning
CUST005282|Top-Up Loan|881000|2025-01-17|We are awaiting your confirmation that we maintain open communication during the implementation period
CUST039462|Auto Loan|75000|2024-06-01|We should arrange a meeting that the scheduled timeline for the project remains unchanged
CUST065359|Credit Card Loan|753000|2025-02-01|It would be greatly appreciated if that your comments are incorporated into the final version of the agreement
CUST089120|Personal Loan|783000|2024-11-06|Kindly let me know that there are no pending items before the closure of this phase
CUST084542|Personal Loan|418000|2024-12-24|Please ensure that that your valuable feedback is shared with the broader management team
CUST014116|Medical Loan|96000|2024-12-18|We seriously need to we could start working on that project idea we joked about earlier
CUST034367|Personal Loan|923000|2025-02-23|It has been way too long since we could go on a spontaneous road trip without much planning
CUST009536|Home Loan|234000|2024-12-17|You should definitely join we could start working on that project idea we joked about earlier
CUST084525|Loan Against Deposit|811000|2025-01-20|Thinking we should we could hang out by the beach before it gets colder again
CUST088386|Travel Loan|965000|2024-08-20|We seriously need to we could start working on that project idea we joked about earlier
CUST002555|Travel Loan|31000|2024-12-13|You should definitely join we could spend a lazy Sunday just binge-watching old shows
CUST067017|Home Loan|550000|2025-03-25|I would like to inform you that your valuable feedback is shared with the broader management team
CUST066313|Travel Loan|228000|2024-11-23|I am writing to follow up that your valuable feedback is shared with the broader management team
CUST025739|Business Loan|576000|2024-12-09|The requested documents have been prepared and that the project deliverables are submitted by the upcoming deadline
CUST094736|Home Loan|810000|2024-10-31|We should arrange a meeting that there are no pending items before the closure of this phase
CUST027206|Auto Loan|62000|2024-08-22|We should arrange a meeting that the scheduled timeline for the project remains unchanged
CUST041512|Auto Loan|777000|2024-11-24|Thinking we should we could hang out by the beach before it gets colder again
CUST015375|Home Loan|989000|2024-10-18|I would like to inform you that there are no pending items before the closure of this phase
CUST046302|Medical Loan|908000|2025-01-25|I finally got time to we could grab dinner sometime this week and catch up properly
CUST096934|Loan Against Deposit|50000|2024-10-24|We are awaiting your confirmation that the revised contract terms are reviewed and accepted
CUST008332|Travel Loan|747000|2024-07-09|Thinking we should we could hang out by the beach before it gets colder again
CUST003550|Loan Against Deposit|195000|2024-09-10|Hey I was thinking we could spend a lazy Sunday just binge-watching old shows
CUST023316|Loan Against Deposit|853000|2025-04-15|Please do not hesitate to reach out that all compliance requirements have been successfully met
CUST022292|Education Loan|639000|2025-02-03|It would be greatly appreciated if that we maintain open communication during the implementation period
CUST041386|Auto Loan|656000|2025-04-27|I finally got time to we could grab dinner sometime this week and catch up properly
CUST010786|Credit Card Loan|618000|2024-12-24|It has been way too long since we could check out that new movie you mentioned last month
CUST033526|Loan Against Deposit|739000|2024-08-11|Thinking we should we could spend a lazy Sunday just binge-watching old shows
CUST009500|Home Loan|331000|2024-11-01|I am writing to follow up that the updated policy guidelines have been distributed to all departments
CUST093161|Top-Up Loan|167000|2024-12-05|I am writing to follow up that the updated policy guidelines have been distributed to all departments
CUST099074|Education Loan|193000|2024-09-25|You should definitely join we could book tickets for that concert happening next month
CUST063586|Auto Loan|857000|2025-01-05|Hey I was thinking we could go on a spontaneous road trip without much planning
CUST082180|Travel Loan|620000|2025-03-18|Let me know if we could grab dinner sometime this week and catch up properly
CUST008498|Medical Loan|940000|2024-06-28|Please do not hesitate to reach out that we maintain open communication during the implementation period
CUST009905|Medical Loan|813000|2024-08-05|Let me know if we could go for a hike if the weather stays good
CUST003598|Home Loan|692000|2025-01-25|We seriously need to we could go on a spontaneous road trip without much planning
CUST019016|Top-Up Loan|536000|2024-06-02|Just wanted to say we could go for a hike if the weather stays good
CUST082366|Education Loan|651000|2024-12-19|Maybe we can plan something we could start working on that project idea we joked about earlier
CUST038426|Travel Loan|253000|2025-02-13|Thank you for your attention that we maintain open communication during the implementation period
CUST075427|Credit Card Loan|506000|2024-10-01|It would be greatly appreciated if that the invoice details are correctly reflected in your records
CUST031900|Credit Card Loan|627000|2025-01-02|Kindly let me know that your valuable feedback is shared with the broader management team
CUST008943|Travel Loan|601000|2024-09-16|Thank you for your attention that there are no pending items before the closure of this phase
CUST060426|Travel Loan|722000|2025-02-20|Just wanted to say we could check out that new movie you mentioned last month
CUST099785|Credit Card Loan|92000|2025-04-30|It would be greatly appreciated if that the revised contract terms are reviewed and accepted
CUST008090|Loan Against Deposit|641000|2024-12-24|Please ensure that that we maintain open communication during the implementation period
CUST002571|Travel Loan|701000|2024-09-26|It would be greatly appreciated if that the updated policy guidelines have been distributed to all departments
CUST083625|Loan Against Deposit|601000|2024-10-18|I am writing to follow up that the scheduled timeline for the project remains unchanged
CUST023634|Auto Loan|189000|2024-10-20|You should definitely join we could check out that new movie you mentioned last month
CUST033672|Business Loan|415000|2024-08-19|Please ensure that that the project deliverables are submitted by the upcoming deadline
CUST096166|Top-Up Loan|303000|2024-07-13|Just wanted to say we could spend a lazy Sunday just binge-watching old shows
CUST040563|Medical Loan|774000|2025-02-28|It would be awesome if we could go on a spontaneous road trip without much planning
CUST089747|Auto Loan|967000|2024-11-24|Hey I was thinking we could book tickets for that concert happening next month
CUST015122|Top-Up Loan|316000|2025-05-03|We seriously need to we could host a small get-together at my place this weekend
CUST007225|Top-Up Loan|989000|2024-10-13|The requested documents have been prepared and that the updated policy guidelines have been distributed to all departments
CUST061924|Personal Loan|878000|2025-01-24|We should arrange a meeting that we maintain open communication during the implementation period
CUST082764|Credit Card Loan|516000|2024-10-11|Thinking we should we could go on a spontaneous road trip without much planning
CUST067211|Travel Loan|423000|2024-11-30|It has been way too long since we could start working on that project idea we joked about earlier
CUST007930|Business Loan|290000|2024-09-18|We seriously need to we could spend a lazy Sunday just binge-watching old shows
CUST072185|Personal Loan|84000|2025-03-09|Please ensure that that we maintain open communication during the implementation period
CUST002637|Medical Loan|897000|2024-05-15|Thinking we should we could grab dinner sometime this week and catch up properly
